country_code,athletes,soccer_athletes,track_athletes,gdp_per_capita_ppp,population,pop_15_24,unemployment,gdp_growth,political_stability,rule_of_law,control_corruption,years_with_conflict_2010_23,disaster_deaths_2010_23,econ_shocks_2010_23,stringency_2020_21,inflation_2023,mean_inflation_2010_23,hyperinflation_event,refugees_origin_2023,refugees_plus_asylum_2010_23_total,log_athletes,log_gdp_pc,log_pop,log_pop_15_24,athletes_per_million,athletes_per_million_15_24,log_athletes_per_million,log_athletes_per_million_15_24,log_disaster_deaths_2010_23,log_refugees_per_cohort,log_inflation_2023,log_mean_inflation_2010_23
CIV,2,1,1,6520.89886460031,31165654.0,5325946.781666751,2.263,3.96403768538988,-0.6318,-0.4612,-0.313,1.0,184.0,2.0,29.5,4.36972254867474,2.1786385700694484,0.0,25994.0,1095333.0,0.6931471805599453,8.782767508087273,17.25482721308432,15.488101053129366,0.0641732081091576,0.37552008722364694,-2.746169474560101,-0.9794433146051459,5.220355825078324,0.18702694560936134,1.6807762402725361,1.1564529825017613
CMR,2,0,2,4875.25120768005,28372687.0,5118190.661279958,3.607,0.652417560279119,-1.4004,-1.0382,-1.1626,9.0,149.0,2.0,36.895,7.38281384280983,2.636291064906309,0.0,110715.0,889441.0,0.6931471805599453,8.491926911884857,17.160937515024777,15.448311548091219,0.07049032754634765,0.3907630903886335,-2.652279776500557,-0.9396538095670003,5.0106352940962555,0.1602296144128563,2.1261836388971433,1.2909642239656542
COL,7,0,7,18382.9976800475,52321152.0,8606126.06765081,9.591,-0.410230298426796,-0.7173,-0.4583,-0.3092,13.0,2011.0,2.0,62.45,11.7359044948689,4.663442105612404,0.0,115513.0,4556197.0,1.9459101490553132,9.81918147728189,17.77291128321944,15.967984841082453,0.13378910311454917,0.8133740947988193,-2.0114905761998534,-0.20656413406286647,7.60688453121963,0.42488415209778296,2.5444251302413807,1.7340318532372474
CRI,1,0,1,25979.6286150717,5105525.0,769743.6109252343,8.325,4.6227538695518,0.9842,0.3893,0.6537,0.0,65.0,1.0,55.665,0.525193508693455,3.0546910112557746,0.0,207.0,11766.0,0.0,10.165067995090533,15.445833844645792,13.553812765557735,0.19586624294269445,1.299133874976886,-1.6303232866815178,0.26169779240653823,4.189654742026425,0.015169961259236295,0.42212129295592765,1.3998744852203457
CUW,1,0,1,27617.9204919042,154654.0,22296.570500493654,,3.30385791508765,,,,0.0,0.0,1.0,,,1.739475554290428,0.0,8.0,422.0,0.0,10.226220134190555,11.948945642634852,10.012188156405905,6.46604678831456,44.84994676548394,1.8665649153294213,3.8033224015583693,0.0,0.018749796337680185,,1.0077664985363435
CYM,2,0,2,79675.8568481808,73038.0,7247.901013889181,,3.71921512688289,1.6256,0.7218,0.4376,0.0,0.0,2.0,,,0.4646185135994711,0.0,0.0,57.0,0.6931471805599453,11.28572189351928,11.198735132637651,8.888467190605438,27.383006106410363,275.941958391456,3.3099226058865683,5.6201905479187815,0.0,0.007833583027482861,,0.38159480828559394
CYP,3,0,3,51453.7265625,1344976.0,147233.07640448306,5.835,1.63941638797075,0.4096,0.628,0.3327,0.0,256.0,3.0,56.465,3.54134188751663,1.3421537770313423,0.0,5.0,255.0,1.0986122886681098,10.848438169397232,14.111886726992703,11.89977216386959,2.230523072530662,20.375856249572013,0.8022361196396819,3.014350682762793,5.54907608489522,0.0017304496891505903,1.5132225383186515,0.8510709235798896
CZE,31,0,31,47558.4106763314,10864042.0,991528.9593727996,2.579,-1.71985869478267,0.9674,1.1422,0.7678,0.0,733.0,2.0,50.22,10.6612601372427,3.54737107659934,0.0,637.0,17822.0,3.4339872044851463,10.76971393301194,16.20096899475252,13.807003434153174,2.8534499406390363,31.26484577879533,1.0485287676968973,3.442494328296247,6.598509028614515,0.017814633616706616,2.4562722486027813,1.514549280617791
DEU,85,10,75,63039.3719696432,83287273.0,8452614.877141096,3.071,-0.999929288913975,0.587,1.5512,1.6642,0.0,14862.0,2.0,56.815,5.94643667725823,2.094502970321618,0.0,209.0,4468.0,4.442651256490317,11.051514762071653,18.23780631035019,15.949986404378784,1.0205640902662283,10.05605972062805,0.020355504104399562,2.308175410075806,9.606630182148894,0.0005284541650483081,1.9382288197886854,1.1296273020680798
DMA,1,0,1,18278.2253401989,66510.0,9616.75671293264,,4.14467889969342,1.2853,0.6249,0.5445,0.0,94.0,1.0,40.815,5.08677483158111,1.410651392292706,0.0,73.0,1826.0,0.0,9.813465758249363,11.105107591278466,9.171262346787485,15.035333032626673,103.98516151034552,2.710402966685807,4.64424821117679,4.553876891600541,0.17384986052755358,1.8061183571372723,0.8798969982399275
DNK,11,4,7,69379.22000847,5946952.0,725083.462412166,5.094,-0.138322294600371,0.8508,1.9089,2.3761,0.0,444.0,2.0,46.545,3.30517811237605,1.8226445497103416,0.0,0.0,285.0,2.3978952727983707,11.147342678149649,15.598389377359705,13.494042047779452,1.8496870329540243,15.170667337254987,0.6150164534029391,2.719363782983192,6.09807428216624,0.0003929809720543832,1.4598185103980674,1.0376742290909378
DOM,1,0,1,23282.4895071054,11331265.0,1949777.0000990373,5.555,1.28564825764879,0.239,-0.1286,-0.4495,0.0,103.0,1.0,62.195,4.78561281021135,4.312645584253007,0.0,886.0,50785.0,0.0,10.055456833718395,16.243076277257174,14.483225565076879,0.08825139999814673,0.5128791651297588,-2.4275657192929003,-0.6677150071126046,4.6443908991413725,0.025713134023739953,1.7553742859275545,1.6700899379697336
DZA,5,0,5,15159.3242373415,46164219.0,6040906.586720963,11.645,2.55120301943617,-0.5779,-0.6784,-0.5893,10.0,300.0,2.0,60.09,9.32217375928322,5.337270701850691,0.0,7629.0,158452.0,1.6094379124341003,9.6263710828296,17.647715575467508,15.614064655786782,0.1083089914290546,0.8276903355848824,-2.2227671050691353,-0.1891161853884069,5.707110264748875,0.025891735122146375,2.3342943734623147,1.8464481870952034
EGY,7,0,7,16691.387399222,114535772.0,18977582.05318473,6.753,2.02315842412948,-0.8668,-0.1842,-0.7478,9.0,262.0,5.0,52.365,33.8847763115546,13.090440633996169,0.0,23160.0,480494.0,1.9459101490553132,9.722648140775691,18.556397751379823,16.758768948572566,0.06111627727973056,0.3688562631626347,-2.7949770443602344,-0.9973482415529772,5.572154032177765,0.02500381451911025,3.5520505252036534,2.6454965982389336
ESP,72,0,72,47322.5937004504,48352528.0,4747927.1067807805,12.179,1.26057958891062,0.2873,0.8229,0.6294,0.0,19801.0,3.0,56.165,3.53236133492432,1.9300352363270152,0.0,56.0,4488.0,4.276666119016055,10.764743128518573,17.694029063915565,15.373218682188787,1.4890638189589591,15.164512508452956,0.39814761306476576,2.718957994791542,9.89353822168246,0.0009448081412160511,1.5112430696707304,1.0750144490068394
EST,12,0,12,41288.6165892158,1370286.0,128363.51937243353,6.378,-4.26634480137913,0.6605,1.4264,1.5381,0.0,278.0,3.0,37.455,9.15922507983982,4.008217319427684,0.0,60.0,4280.0,2.4849066497880004,10.628342113577155,14.130530035141241,11.762621512831984,8.757295922165154,93.48450446565926,2.169887172611033,4.53779569492029,5.631211781821365,0.03279899045137301,2.318382167572195,1.6110800273106949
