country_code,athletes,gdp_per_capita_ppp,population,pop_15_24,political_stability,econ_shocks_2010_23,disaster_deaths_2010_23,years_with_conflict_2010_23,bartik,log_athletes,log_gdp_pc,log_pop,log_athletes_per_million,log_athletes_per_million_15_24,log_disaster_deaths_2010_23
NGA,70,7843.83461990405,227882945.0,42146398.71936021,-1.7684,5.0,2158.0,13.0,4.879388734960139,4.248495242049359,8.967483103450942,19.244342655961454,-1.1803368559478207,0.5073460008872502,7.677400430514807
NLD,28,70198.9297909022,17877117.0,2149669.905536712,0.6583,2.0,1748.0,0.0,4.43714616393152,3.332204510175204,11.159088344753851,16.699032073098078,0.4486829950414001,2.5668902121314296,7.466799475018602
NOR,19,90085.4382059786,5519601.0,658278.7766078798,0.8929,2.0,74.0,0.0,4.420239097721594,2.9444389791664403,11.408513812399168,15.523816133032069,1.2361334040986458,3.3625657438908263,4.31748811353631
NZL,55,49508.2697230172,5200000.0,649758.6720295167,1.3586,2.0,225.0,0.0,5.148039688453985,4.007333185232471,10.809894999714418,15.464169183551656,2.358674559645089,4.43848744406485,5.420534999272286
POL,14,43672.7668014946,36687353.0,3792908.9141362393,0.5596,3.0,2238.0,0.0,4.89276093310614,2.6390573296152584,10.684480001502509,17.417942648730254,-0.9633747611507192,1.3059240813976756,7.713784616598755
PRT,10,41768.2549192626,10578174.0,1086527.781575207,0.7126,2.0,3822.0,0.0,5.41091982009492,2.302585092994046,10.639891878291037,16.174303379707034,-0.05620772874871516,2.219598002818098,8.248790733696413
SRB,11,25735.2402009063,6623183.0,712625.2323187543,-0.0391,3.0,1138.0,0.0,5.0406700923013945,2.3978952727983707,10.155616545670897,15.706086628068325,0.5073192026943185,2.736694890424599,7.037905963447182
SWE,37,62662.7652797761,10536632.0,1162769.9604451207,0.7584,3.0,61.0,0.0,4.891584049837521,3.6109179126442243,11.045522695032195,16.170368505420207,1.2560599651882904,3.460112857085865,4.127134385045092
TTO,18,31196.603554718,1367510.0,175395.55748041655,0.4014,2.0,0.0,0.0,4.868010892640141,2.8903717578961645,10.348064507446143,14.128502125865795,2.577380189994643,4.631083285194748,0.0
TUN,5,12650.9615158166,12200431.0,1663909.7853980276,-0.631,3.0,16.0,4.0,5.3250079168642035,1.6094379124341003,9.445488500422579,16.316981836948322,-0.8920333665499485,1.1002677870107902,2.833213344056216
ZAF,50,13695.3755694076,63212384.0,10267727.29901588,-0.6656,5.0,1014.0,0.0,4.986343047188456,3.912023005428146,9.524813505155223,17.962010789288605,-0.23447722589618458,1.583017301106964,6.922643891475888
ZWE,14,5218.02266462129,16340822.0,3083227.320866264,-0.9344,7.0,1090.0,0.0,4.782996779475178,2.6390573296152584,8.559873809232908,16.60917695212838,-0.154609064548846,1.5130804497718757,6.994849985833071
