country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
ESP,2023,21,56.165,4747927.1067807805,47322.5937004504,0.2873,3.091042453358316,0.37025315609065435
ESP,2024,13,56.165,4747927.1067807805,47322.5937004504,0.2873,2.6390573296152584,0.37025315609065435
EST,2020,1,37.455,128363.51937243353,41288.6165892158,0.6605,0.6931471805599453,-1.218905977675031
EST,2021,2,37.455,128363.51937243353,41288.6165892158,0.6605,1.0986122886681098,-1.218905977675031
EST,2022,4,37.455,128363.51937243353,41288.6165892158,0.6605,1.6094379124341003,-1.218905977675031
EST,2023,3,37.455,128363.51937243353,41288.6165892158,0.6605,1.3862943611198906,-1.218905977675031
EST,2024,2,37.455,128363.51937243353,41288.6165892158,0.6605,1.0986122886681098,-1.218905977675031
FIN,2020,1,40.805,611711.3758806713,56250.8787899319,0.714,0.6931471805599453,-0.9343692006512444
FIN,2021,1,40.805,611711.3758806713,56250.8787899319,0.714,0.6931471805599453,-0.9343692006512444
FIN,2022,0,40.805,611711.3758806713,56250.8787899319,0.714,0.0,-0.9343692006512444
FIN,2023,1,40.805,611711.3758806713,56250.8787899319,0.714,0.6931471805599453,-0.9343692006512444
FIN,2024,3,40.805,611711.3758806713,56250.8787899319,0.714,1.3862943611198906,-0.9343692006512444
FRA,2020,8,53.785,8153466.003622076,54296.7230897731,0.3437,2.1972245773362196,0.16810463987674013
FRA,2021,12,53.785,8153466.003622076,54296.7230897731,0.3437,2.5649493574615367,0.16810463987674013
FRA,2022,14,53.785,8153466.003622076,54296.7230897731,0.3437,2.70805020110221,0.16810463987674013
FRA,2023,11,53.785,8153466.003622076,54296.7230897731,0.3437,2.4849066497880004,0.16810463987674013
FRA,2024,16,53.785,8153466.003622076,54296.7230897731,0.3437,2.833213344056216,0.16810463987674013
GBR,2020,37,57.68,7868562.603275329,52592.6822066393,0.5149,3.6375861597263857,0.4989317283864862
GBR,2021,36,57.68,7868562.603275329,52592.6822066393,0.5149,3.6109179126442243,0.4989317283864862
GBR,2022,41,57.68,7868562.603275329,52592.6822066393,0.5149,3.7376696182833684,0.4989317283864862
GBR,2023,36,57.68,7868562.603275329,52592.6822066393,0.5149,3.6109179126442243,0.4989317283864862
GBR,2024,50,57.68,7868562.603275329,52592.6822066393,0.5149,3.9318256327243257,0.4989317283864862
GEO,2020,0,57.965,419477.93435002473,22590.5293649146,-0.3356,0.0,0.523138588521346
GEO,2021,0,57.965,419477.93435002473,22590.5293649146,-0.3356,0.0,0.523138588521346
GEO,2022,1,57.965,419477.93435002473,22590.5293649146,-0.3356,0.6931471805599453,0.523138588521346
GEO,2023,0,57.965,419477.93435002473,22590.5293649146,-0.3356,0.0,0.523138588521346
GEO,2024,0,57.965,419477.93435002473,22590.5293649146,-0.3356,0.0,0.523138588521346
GHA,2020,0,42.92,6057774.119105352,6808.53775165029,-0.0216,0.0,-0.754728817545182
GHA,2021,7,42.92,6057774.119105352,6808.53775165029,-0.0216,2.0794415416798357,-0.754728817545182
GHA,2022,7,42.92,6057774.119105352,6808.53775165029,-0.0216,2.0794415416798357,-0.754728817545182
GHA,2023,4,42.92,6057774.119105352,6808.53775165029,-0.0216,1.6094379124341003,-0.754728817545182
GHA,2024,3,42.92,6057774.119105352,6808.53775165029,-0.0216,1.3862943611198906,-0.754728817545182
GRC,2020,1,63.69499999999999,1088732.4422298225,36700.5134631055,0.2397,0.6931471805599453,1.0098238817590457
GRC,2021,1,63.69499999999999,1088732.4422298225,36700.5134631055,0.2397,0.6931471805599453,1.0098238817590457
GRC,2022,3,63.69499999999999,1088732.4422298225,36700.5134631055,0.2397,1.3862943611198906,1.0098238817590457
GRC,2023,5,63.69499999999999,1088732.4422298225,36700.5134631055,0.2397,1.791759469228055,1.0098238817590457
GRC,2024,4,63.69499999999999,1088732.4422298225,36700.5134631055,0.2397,1.6094379124341003,1.0098238817590457
GTM,2020,0,59.18,3656946.476612397,12384.948508094,-0.2444,0.0,0.6263362554120623
GTM,2021,0,59.18,3656946.476612397,12384.948508094,-0.2444,0.0,0.6263362554120623
GTM,2022,1,59.18,3656946.476612397,12384.948508094,-0.2444,0.6931471805599453,0.6263362554120623
GTM,2023,0,59.18,3656946.476612397,12384.948508094,-0.2444,0.0,0.6263362554120623
GTM,2024,1,59.18,3656946.476612397,12384.948508094,-0.2444,0.6931471805599453,0.6263362554120623
GUM,2020,0,0.0,23984.28512643,,0.8934,0.0,-4.400197017503665
GUM,2021,0,0.0,23984.28512643,,0.8934,0.0,-4.400197017503665
GUM,2022,0,0.0,23984.28512643,,0.8934,0.0,-4.400197017503665
GUM,2023,1,0.0,23984.28512643,,0.8934,0.6931471805599453,-4.400197017503665
GUM,2024,0,0.0,23984.28512643,,0.8934,0.0,-4.400197017503665
GUY,2020,2,62.855,153719.49978185972,49312.3603225444,-0.0552,1.0986122886681098,0.9384773466247234
