country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
DNK,2024,2,46.545,725083.462412166,69379.22000847,0.8508,1.0986122886681098,-0.44683454390003985
DOM,2020,0,62.195,1949777.0000990373,23282.4895071054,0.239,0.0,0.8824193547334702
DOM,2021,0,62.195,1949777.0000990373,23282.4895071054,0.239,0.0,0.8824193547334702
DOM,2022,0,62.195,1949777.0000990373,23282.4895071054,0.239,0.0,0.8824193547334702
DOM,2023,1,62.195,1949777.0000990373,23282.4895071054,0.239,0.6931471805599453,0.8824193547334702
DOM,2024,0,62.195,1949777.0000990373,23282.4895071054,0.239,0.0,0.8824193547334702
DZA,2020,2,60.09,6040906.586720963,15159.3242373415,-0.5779,1.0986122886681098,0.703628335140912
DZA,2021,0,60.09,6040906.586720963,15159.3242373415,-0.5779,0.0,0.703628335140912
DZA,2022,3,60.09,6040906.586720963,15159.3242373415,-0.5779,1.3862943611198906,0.703628335140912
DZA,2023,0,60.09,6040906.586720963,15159.3242373415,-0.5779,0.0,0.703628335140912
DZA,2024,0,60.09,6040906.586720963,15159.3242373415,-0.5779,0.0,0.703628335140912
EGY,2020,0,52.365,18977582.05318473,16691.387399222,-0.8668,0.0,0.04749502095919525
EGY,2021,2,52.365,18977582.05318473,16691.387399222,-0.8668,1.0986122886681098,0.04749502095919525
EGY,2022,1,52.365,18977582.05318473,16691.387399222,-0.8668,0.6931471805599453,0.04749502095919525
EGY,2023,1,52.365,18977582.05318473,16691.387399222,-0.8668,0.6931471805599453,0.04749502095919525
EGY,2024,3,52.365,18977582.05318473,16691.387399222,-0.8668,1.3862943611198906,0.04749502095919525
ESP,2020,4,56.165,4747927.1067807805,47322.5937004504,0.2873,1.6094379124341003,0.37025315609065435
ESP,2021,17,56.165,4747927.1067807805,47322.5937004504,0.2873,2.8903717578961645,0.37025315609065435
