country_code,pop_15_24_avg_2018_22
TUR,13124275.306289356
TUV,1850.9176887152378
TZA,12334336.23922454
UGA,9741218.134347752
UKR,4080414.4915870368
UMC,376845209.3561262
URY,494926.82918788993
USA,43439177.08293821
UZB,5258068.1822655825
VCT,15583.298232223427
VEN,4800126.099291524
VGB,4520.413431984806
VIR,11408.438513305995
VNM,13342553.685870128
VUT,52109.386766954856
WLD,1229737562.7258332
WSM,36107.23397443757
XKX,320829.81847274414
YEM,7197708.800642574
ZAF,10267727.29901588
ZMB,3877599.9598998586
ZWE,3083227.320866264
