country_code,year,terms_of_trade_index
SOM,2011,94.5
SRB,2011,96.9
STP,2011,99.4
SUR,2011,120.8
SVK,2011,99.3
SVN,2011,98.5
SWE,2011,100.1
SWZ,2011,103.2
SYC,2011,91.2
SYR,2011,96.1
TCA,2011,65.5
TCD,2011,159.4
TGO,2011,96.3
THA,2011,93.7
TJK,2011,118.4
TKM,2011,135.5
TLS,2011,144.9
TON,2011,95.0
TTO,2011,104.4
TUN,2011,108.2
TUR,2011,91.1
TZA,2011,103.3
UGA,2011,102.8
UKR,2011,127.5
URY,2011,89.4
USA,2011,94.6
UZB,2011,128.6
VCT,2011,91.4
VEN,2011,182.3
VGB,2011,78.6
VNM,2011,96.1
VUT,2011,90.2
WLD,2011,100.1
WSM,2011,95.1
YEM,2011,136.5
ZAF,2011,105.0
ZMB,2011,125.1
ZWE,2011,104.1
ABW,2012,66.9
AFG,2012,110.3
AGO,2012,199.2
ALB,2012,105.9
AND,2012,104.6
ARE,2012,124.9
ARG,2012,114.2
ARM,2012,104.3
ASM,2012,141.2
ATG,2012,118.3
AUS,2012,122.7
AUT,2012,99.0
AZE,2012,163.3
BDI,2012,111.6
BEL,2012,97.7
BEN,2012,120.7
BFA,2012,116.5
BGD,2012,86.7
BGR,2012,95.0
BHR,2012,109.8
BHS,2012,90.3
BIH,2012,97.9
BLR,2012,120.8
BLZ,2012,105.7
BMU,2012,90.5
BOL,2012,157.8
BRA,2012,120.4
BRB,2012,94.5
BRN,2012,137.0
BTN,2012,101.1
BWA,2012,85.5
CAF,2012,120.1
CAN,2012,111.6
CHE,2012,95.6
CHL,2012,109.1
CHN,2012,86.1
CIV,2012,88.7
CMR,2012,108.7
COD,2012,107.8
COG,2012,149.2
COL,2012,157.3
COM,2012,78.2
CPV,2012,95.3
CRI,2012,91.7
CUB,2012,100.8
CUW,2012,109.4086035116
CYM,2012,95.7
CYP,2012,101.3
CZE,2012,98.4
DEU,2012,92.9
DJI,2012,108.4
DMA,2012,96.4
DNK,2012,100.5
DOM,2012,94.7
DZA,2012,154.5
ECU,2012,140.2
EGY,2012,105.7
ERI,2012,125.1
ESP,2012,97.8
EST,2012,100.2
ETH,2012,99.5
FIN,2012,93.9
FJI,2012,105.0
FRA,2012,97.8
FRO,2012,83.3
FSM,2012,82.3
GAB,2012,146.7
GBR,2012,86.2
GEO,2012,101.3
GHA,2012,112.6
GIB,2012,85.6
GIN,2012,115.9
GMB,2012,97.6
GNB,2012,98.6
GNQ,2012,152.0
GRC,2012,97.6
GRD,2012,84.3
GRL,2012,80.7
GTM,2012,96.3
GUM,2012,99.4
GUY,2012,108.0
HKG,2012,98.9
HND,2012,97.2
HRV,2012,98.9
HTI,2012,98.3
HUN,2012,96.8
IDN,2012,102.8
IND,2012,88.1
IRL,2012,101.9
IRN,2012,135.9
IRQ,2012,200.2
ISL,2012,90.9
ISR,2012,87.3
ITA,2012,91.5
JAM,2012,101.2
JOR,2012,105.5
JPN,2012,90.7
KAZ,2012,155.2
KEN,2012,90.4
KGZ,2012,105.7
KHM,2012,89.9
KIR,2012,84.2
KNA,2012,102.8
KOR,2012,85.0
KWT,2012,158.3
LAO,2012,111.7
LBN,2012,95.1
LBR,2012,139.0
LBY,2012,167.0
LCA,2012,73.0
LKA,2012,89.4
LSO,2012,85.1
LTU,2012,95.2
LUX,2012,99.7
LVA,2012,97.2
MAC,2012,96.1
MAR,2012,105.3
MDA,2012,99.6
MDG,2012,89.0
MDV,2012,85.1
MEX,2012,100.2
MHL,2012,98.7
MKD,2012,90.4
MLI,2012,116.9
MLT,2012,88.6
MMR,2012,89.8
MNG,2012,129.1
MNP,2012,119.5
MOZ,2012,100.5
MRT,2012,126.2
MUS,2012,83.6
MWI,2012,93.1
MYS,2012,105.5
NAM,2012,96.2
NCL,2012,114.0
NER,2012,105.3
NGA,2012,153.1
NIC,2012,92.2
NLD,2012,96.9
NOR,2012,131.2
NPL,2012,90.4
NRU,2012,121.8
NZL,2012,90.6
OMN,2012,167.5
PAK,2012,97.3
PAN,2012,101.1
PER,2012,120.7
PHL,2012,92.6
PLW,2012,92.7
PNG,2012,119.6
POL,2012,97.5
PRK,2012,108.5
PRT,2012,94.4
PRY,2012,79.8
PSE,2012,87.6
PYF,2012,77.6
QAT,2012,140.7
ROU,2012,99.3
RUS,2012,146.6
RWA,2012,93.0
SAU,2012,157.8
SDN,2012,132.5014300339
SEN,2012,97.5
SGP,2012,92.5
SLB,2012,100.1
SLE,2012,122.0
SLV,2012,86.4
SOM,2012,97.1
SRB,2012,98.0
STP,2012,95.5
SUR,2012,120.4
SVK,2012,98.2
SVN,2012,97.5
SWE,2012,99.4
SWZ,2012,101.6
SYC,2012,93.6
SYR,2012,95.6
TCA,2012,77.1
TCD,2012,162.6
TGO,2012,95.8
THA,2012,92.4
TJK,2012,99.5
TKM,2012,120.0
TLS,2012,135.8
TON,2012,91.6
TTO,2012,101.0
TUN,2012,103.9
TUR,2012,91.0
TZA,2012,101.2
UGA,2012,93.5
UKR,2012,113.5
URY,2012,92.9
USA,2012,94.7
UZB,2012,111.4
VCT,2012,91.5
VEN,2012,184.1
VGB,2012,88.6
VNM,2012,95.9
VUT,2012,91.2
WLD,2012,99.5
WSM,2012,96.1
YEM,2012,137.2
ZAF,2012,104.3
ZMB,2012,115.0
ZWE,2012,94.7
ABW,2013,57.0
AFG,2013,105.0
AGO,2013,195.1
ALB,2013,105.4
AND,2013,105.1
ARE,2013,124.6
ARG,2013,106.9
ARM,2013,99.1
ASM,2013,78.6
ATG,2013,116.7
AUS,2013,119.3
AUT,2013,99.6
AZE,2013,163.4
