school_name,gender,platform,base_url,status,division,source_id,softball_roster,field_hockey_roster,beach_volleyball_roster,football_roster,baseball_roster,cross_country_roster,soccer_roster,volleyball_roster,water_polo_roster,basketball_roster,bowling_roster,fencing_roster,gymnastics_roster,ice_hockey_roster,swimming_diving_roster,track_field_roster,wrestling_roster,golf_roster,lacrosse_roster,rowing_roster,tennis_roster
Albright College,Men,Sidearm Sports,http://www.albrightathletics.com/,OK,III,11,,,,https://albrightathletics.com/sports/football/roster,https://albrightathletics.com/sports/baseball/roster,https://albrightathletics.com/sports/mens-cross-country/roster,https://albrightathletics.com/sports/mens-soccer/roster,,,https://albrightathletics.com/sports/mens-basketball/roster,,,,,,https://albrightathletics.com/sports/mens-track-and-field/roster,https://albrightathletics.com/sports/mens-wrestling/roster,https://albrightathletics.com/sports/mens-golf/roster,https://albrightathletics.com/sports/mens-lacrosse/roster,,https://albrightathletics.com/sports/mens-tennis/roster
Albright College,Women,Sidearm Sports,http://www.albrightathletics.com/,OK,III,11,https://albrightathletics.com/sports/softball/roster,https://albrightathletics.com/sports/field-hockey/roster,,,,https://albrightathletics.com/sports/womens-cross-country/roster,https://albrightathletics.com/sports/womens-soccer/roster,https://albrightathletics.com/sports/womens-volleyball/roster,,https://albrightathletics.com/sports/womens-basketball/roster,,,,https://albrightathletics.com/sports/womens-ice-hockey/roster,,https://albrightathletics.com/sports/womens-track-and-field/roster,https://albrightathletics.com/sports/womens-wrestling/roster,https://albrightathletics.com/sports/womens-golf/roster,https://albrightathletics.com/sports/womens-lacrosse/roster,,https://albrightathletics.com/sports/womens-tennis/roster
Alcorn State University,Men,Sidearm Sports,http://www.alcornsports.com/,OK,I-FCS,12,,,,https://alcornsports.com/sports/football/roster,https://alcornsports.com/sports/baseball/roster,https://alcornsports.com/sports/mens-cross-country/roster,,,,https://alcornsports.com/sports/mens-basketball/roster,,,,,,https://alcornsports.com/sports/mens-track-and-field/roster,,,,,https://alcornsports.com/sports/mens-tennis/roster
Alcorn State University,Women,Sidearm Sports,http://www.alcornsports.com/,OK,I-FCS,12,https://alcornsports.com/sports/softball/roster,,,,,https://alcornsports.com/sports/womens-cross-country/roster,https://alcornsports.com/sports/womens-soccer/roster,https://alcornsports.com/sports/womens-volleyball/roster,,https://alcornsports.com/sports/womens-basketball/roster,,,,,,https://alcornsports.com/sports/womens-track-and-field/roster,,,,,https://alcornsports.com/sports/womens-tennis/roster
Alfred State College,Men,Sidearm Sports,http://www.alfredstateathletics.com/,OK,III,13,,,,https://alfredstateathletics.com/sports/football/roster,https://alfredstateathletics.com/sports/baseball/roster,https://alfredstateathletics.com/sports/cross-country/roster,https://alfredstateathletics.com/sports/mens-soccer/roster,,,https://alfredstateathletics.com/sports/mens-basketball/roster,,,,,https://alfredstateathletics.com/sports/mens-swimming-and-diving/roster,https://alfredstateathletics.com/sports/mens-track-and-field/roster,https://alfredstateathletics.com/sports/wrestling/roster,,https://alfredstateathletics.com/sports/mens-lacrosse/roster,,
Alfred State College,Women,Sidearm Sports,http://www.alfredstateathletics.com/,OK,III,13,https://alfredstateathletics.com/sports/softball/roster,,,,,https://alfredstateathletics.com/sports/womens-cross-country/roster,https://alfredstateathletics.com/sports/womens-soccer/roster,https://alfredstateathletics.com/sports/womens-volleyball/roster,,https://alfredstateathletics.com/sports/womens-basketball/roster,,,,,https://alfredstateathletics.com/sports/womens-swimming-and-diving/roster,https://alfredstateathletics.com/sports/womens-track-and-field/roster,https://alfredstateathletics.com/sports/womens-wrestling/roster,,https://alfredstateathletics.com/sports/womens-lacrosse/roster,,
Alfred University,Men,Sidearm Sports,http://www.gosaxons.com/,OK,III,14,,,,https://gosaxons.com/sports/football/roster,https://gosaxons.com/sports/baseball/roster,https://gosaxons.com/sports/mens-cross-country/roster,https://gosaxons.com/sports/mens-soccer/roster,,,https://gosaxons.com/sports/mens-basketball/roster,,,,,https://gosaxons.com/sports/mens-swimming-and-diving/roster,https://gosaxons.com/sports/mens-track-and-field/roster,,,https://gosaxons.com/sports/mens-lacrosse/roster,,https://gosaxons.com/sports/mens-tennis/roster
Alfred University,Women,Sidearm Sports,http://www.gosaxons.com/,OK,III,14,https://gosaxons.com/sports/softball/roster,https://gosaxons.com/sports/field-hockey/roster,,,,https://gosaxons.com/sports/womens-cross-country/roster,https://gosaxons.com/sports/womens-soccer/roster,https://gosaxons.com/sports/womens-volleyball/roster,,https://gosaxons.com/sports/womens-basketball/roster,,,,,https://gosaxons.com/sports/womens-swimming-and-diving/roster,https://gosaxons.com/sports/womens-track-and-field/roster,,,https://gosaxons.com/sports/womens-lacrosse/roster,,https://gosaxons.com/sports/womens-tennis/roster
Allegheny College,Men,Sidearm Sports,http://www.alleghenygators.com/,OK,III,15,,,,https://alleghenygators.com/sports/football/roster,https://alleghenygators.com/sports/baseball/roster,https://alleghenygators.com/sports/mens-cross-country/roster,https://alleghenygators.com/sports/mens-soccer/roster,,,https://alleghenygators.com/sports/mens-basketball/roster,,,,,https://alleghenygators.com/sports/mens-swimming-and-diving/roster,https://alleghenygators.com/sports/mens-track-and-field/roster,,https://alleghenygators.com/sports/mens-golf/roster,https://alleghenygators.com/sports/mens-lacrosse/roster,,https://alleghenygators.com/sports/mens-tennis/roster
Allegheny College,Women,Sidearm Sports,http://www.alleghenygators.com/,OK,III,15,https://alleghenygators.com/sports/softball/roster,https://alleghenygators.com/sports/field-hockey/roster,,,,https://alleghenygators.com/sports/womens-cross-country/roster,https://alleghenygators.com/sports/womens-soccer/roster,https://alleghenygators.com/sports/womens-volleyball/roster,,https://alleghenygators.com/sports/womens-basketball/roster,,,,,https://alleghenygators.com/sports/womens-swimming-and-diving/roster,https://alleghenygators.com/sports/womens-track-and-field/roster,,https://alleghenygators.com/sports/womens-golf/roster,https://alleghenygators.com/sports/womens-lacrosse/roster,,https://alleghenygators.com/sports/womens-tennis/roster
