iso_code,year,total_cases_per_million,total_deaths_per_million,stringency_index
GGY,2022,530118.56,941.21,
GGY,2023,554150.6,1051.01,
GHA,2020,1649.54,10.11,43.0
GHA,2021,4262.4,38.83,42.84
GHA,2022,5159.65,44.07,42.37
GHA,2023,5183.66,44.1,
GIB,2020,40551.67,159.44,
GIB,2021,216364.17,2657.38,
GIB,2022,538784.5,2923.12,
GIB,2023,546092.3,3002.84,
GIN,2020,972.88,5.69,53.83
GIN,2021,2214.85,27.68,61.46
GIN,2022,2718.65,33.16,43.58
GIN,2023,2744.34,33.3,
GLP,2020,22406.9,402.91,
GLP,2021,145033.97,2160.11,
GLP,2022,519850.38,2596.81,
GLP,2023,528290.6,2654.0,
GMB,2020,1438.28,46.65,53.39
GMB,2021,3844.53,129.72,32.04
GMB,2022,4773.8,141.1,13.75
GMB,2023,4788.97,141.1,
GNB,2020,1162.17,21.37,
GNB,2021,3070.95,70.77,
GNB,2022,4249.27,83.59,
GNB,2023,4566.06,84.06,
GNQ,2020,2903.16,47.68,
GNQ,2021,7557.32,97.03,
GNQ,2022,9475.2,101.47,
GNQ,2023,9497.94,101.47,
GRC,2020,13415.82,449.65,55.12
GRC,2021,104210.23,1969.27,72.27
GRC,2022,482417.5,3359.05,30.84
GRC,2023,534969.6,3689.9,
GRD,2020,992.06,0.0,
GRD,2021,50937.33,1710.45,
GRD,2022,168137.66,2035.44,
GRD,2023,168419.88,2035.44,
GRL,2020,464.17,0.0,34.99
GRL,2021,38222.59,17.85,40.24
GRL,2022,213714.42,374.91,17.37
GRL,2023,213714.42,374.91,
GTM,2020,7573.51,266.87,64.75
GTM,2021,35019.8,901.79,53.61
GTM,2022,66990.83,1120.02,42.69
GTM,2023,70053.54,1131.84,
GUF,2020,42816.59,238.0,
GUF,2021,158317.11,1129.66,
GUF,2022,327756.53,1384.42,
GUF,2023,328644.84,1384.42,
GUM,2020,42943.71,732.48,0.0
GUM,2021,92376.8,1634.45,
GUM,2022,302300.94,2488.0,
GUM,2023,316520.7,2536.43,
GUY,2020,7654.24,197.17,62.51
GUY,2021,47517.39,1268.2,63.2
GUY,2022,87634.91,1565.17,31.54
GUY,2023,89678.4,1580.99,
HKG,2020,,,58.54
HKG,2021,,,65.32
HKG,2022,,,53.59
HND,2020,11339.86,292.53,72.56
HND,2021,36226.81,996.67,84.02
HND,2022,44312.91,1057.26,32.73
HND,2023,45178.93,1062.13,
HRV,2020,52293.41,924.74,43.85
HRV,2021,177398.64,3142.8,40.75
HRV,2022,322947.53,4482.94,16.06
HRV,2023,335223.3,4782.92,
HTI,2020,855.91,20.43,45.59
HTI,2021,2257.9,66.59,49.05
HTI,2022,2947.95,74.76,38.31
HTI,2023,2975.42,74.76,
HUN,2020,32636.31,934.19,47.69
HUN,2021,127766.52,3955.58,48.2
HUN,2022,225252.98,5001.8,14.23
HUN,2023,229976.11,5058.8,
IDN,2020,2558.42,76.17,55.64
IDN,2021,15284.41,516.64,68.64
IDN,2022,24086.76,575.75,39.67
IDN,2023,24465.65,580.9,
IMN,2020,4480.41,415.95,
IMN,2021,165347.5,796.25,
IMN,2022,451701.84,1378.59,
IMN,2023,451701.84,1378.59,
IND,2020,7147.25,103.56,65.48
IND,2021,24404.54,336.52,67.12
IND,2022,31343.05,372.31,41.69
IND,2023,31578.81,374.18,
IRL,2020,16668.45,436.4,57.17
IRL,2021,136221.38,1184.73,58.56
IRL,2022,330677.03,1651.07,12.49
IRL,2023,338346.1,1849.7,
IRN,2020,13347.93,609.6,48.71
IRN,2021,69064.02,1467.18,73.56
IRN,2022,84454.56,1616.02,56.3
IRN,2023,85177.62,1639.3,
IRQ,2020,13405.3,289.7,65.4
IRQ,2021,47476.41,547.35,70.81
IRQ,2022,55941.5,575.76,39.63
IRQ,2023,55945.4,575.78,
ISL,2020,15098.54,73.61,39.84
ISL,2021,63638.37,97.27,38.06
ISL,2022,544769.8,489.0,14.36
ISL,2023,551547.44,489.0,
ISR,2020,43842.55,356.14,58.69
ISR,2021,149922.7,906.39,51.76
ISR,2022,522534.2,1321.08,20.0
ISR,2023,531855.56,1395.89,
ITA,2020,34203.5,1201.41,65.36
ITA,2021,94305.86,2290.04,64.69
ITA,2022,420343.5,3089.08,27.49
ITA,2023,447199.25,3280.49,
JAM,2020,4467.53,103.55,64.73
JAM,2021,32529.09,867.16,73.65
JAM,2022,53815.73,1219.73,24.24
JAM,2023,55173.54,1267.28,
JEY,2020,25537.96,396.16,
JEY,2021,168823.02,859.96,
JEY,2022,631791.5,1410.72,
JEY,2023,641502.3,1555.66,
JOR,2020,25439.69,331.28,58.93
JOR,2021,93407.6,1105.52,50.42
JOR,2022,155202.16,1254.59,15.02
JOR,2023,155202.16,1254.59,
JPN,2020,1738.53,25.7,32.93
JPN,2021,13854.58,147.1,48.85
JPN,2022,226135.61,446.51,39.68
JPN,2023,270433.8,597.56,
KAZ,2020,9840.07,133.22,64.75
KAZ,2021,53400.78,907.68,66.77
KAZ,2022,74482.15,951.2,22.88
KAZ,2023,75030.41,951.95,
KEN,2020,1766.61,30.51,58.67
KEN,2021,5186.09,98.78,56.09
KEN,2022,6312.53,104.84,40.51
KEN,2023,6342.46,104.86,
KGZ,2020,0.0,0.0,60.73
KGZ,2021,9904.12,123.64,48.95
KGZ,2022,12716.74,147.22,29.0
