school_norm,name_norm,profile_url,country_code,year
eastern michigan,jake mceachern,https://www.tfrrs.org/athletes/8679266/Eastern_Michigan/Jake_McEachern.html,CAN,2023
eastern michigan,kian wiles,https://www.tfrrs.org/athletes/8228627/Eastern_Michigan/Kian_Wiles.html,GBR,2022
eastern washington,owen higgins,https://www.tfrrs.org/athletes/8587578/Eastern_Washington/Owen_Higgins.html,ZAF,2023
evansville,jose ocampo,https://www.tfrrs.org/athletes/8320585/Evansville/Jose__Ocampo.html,MEX,2022
florida,alida van daalen,https://www.tfrrs.org/athletes/8398788/Florida/Alida_Van_Daalen.html,NLD,2023
florida atlantic,jessica hatch,https://www.tfrrs.org/athletes/8584214/Florida_Atlantic/Jessica_Hatch.html,GBR,2023
florida atlantic,adriana lopez,https://www.tfrrs.org/athletes/8586674/Florida_Atlantic/Adriana_Lopez.html,ESP,2023
florida atlantic,isabel o brien,https://www.tfrrs.org/athletes/8234925/Florida_Atlantic/Isabel_O'Brien.html,GBR,2022
florida atlantic,anabell reumann,https://www.tfrrs.org/athletes/8234926/Florida_Atlantic/Anabell_Reumann.html,DEU,2022
florida atlantic,rosa ten berg,https://www.tfrrs.org/athletes/8358717/Florida_Atlantic/Rosa_Ten_Berg.html,NLD,2022
florida state,neo mosebi,https://www.tfrrs.org/athletes/8712650/Florida_State/Neo_Mosebi.html,ZAF,2023
fresno state,madison hutton,https://www.tfrrs.org/athletes/8009456/Fresno_State/Madison_Hutton.html,GBR,2022
georgia,nikolai van huyssteen,https://www.tfrrs.org/athletes/8005685/Georgia/Nikolai_van_Huyssteen.html,ZAF,2022
georgia,ella rush,https://www.tfrrs.org/athletes/8235205/Georgia/Ella_Rush.html,GBR,2023
grand canyon,knowledge omovoh,https://www.tfrrs.org/athletes/8829954/Grand_Canyon/Knowledge_Omovoh.html,NGA,2019
grand canyon,atena rayson,https://www.tfrrs.org/athletes/8010046/Grand_Canyon/Atena__Rayson.html,JAM,2022
grand canyon,amanda thrue,https://www.tfrrs.org/athletes/8010055/Grand_Canyon/Amanda_Thrue.html,JAM,2022
harvard,isaac delaney,https://www.tfrrs.org/athletes/8684032/Harvard/Isaac_Delaney.html,GBR,2023
harvard,timi esan,https://www.tfrrs.org/athletes/8684033/Harvard/Timi_Esan.html,GBR,2023
harvard,reuben henry daire,https://www.tfrrs.org/athletes/8320682/Harvard/Reuben_Henry-Daire.html,GBR,2022
harvard,michal husek,https://www.tfrrs.org/athletes/8320683/Harvard/Michal_Husek.html,CZE,2022
harvard,ferenc kovacs,https://www.tfrrs.org/athletes/8623171/Harvard/Ferenc_Kovacs.html,HUN,2023
harvard,daire mahon,https://www.tfrrs.org/athletes/8320685/Harvard/Daire_Mahon.html,IRL,2022
harvard,ondrej vesely,https://www.tfrrs.org/athletes/8320686/Harvard/Ondrej_Vesely.html,CZE,2022
